"Reference","Qty","Value","Footprint","MPN","Manufacturer"
"S1","1","B3S-1002","B3S-1002:B3S1002","B3S-1002","OMRON"
"J2","1","503480-0800","503480-0800:5034800800","5034800800","MOLEX"
"D3,D4","2","LED_RKGB","LED_THT:LED_D5.0mm-4_RGB","TJ-L5FCMXHTCSLCRGB-A5","TOGIALED"
