Designator,Mid X,Mid Y,Rotation,Layer
D1,144.525,-43.3112,180.0,top
D2,133.558,-54.2012,180.0,top
D22_3,118.601364,-43.279552,180.0,top
D22_2,118.457738,-21.314564,180.0,top
D22,102.235,-74.7,0.0,top
D23_4,104.401364,-51.029552,0.0,top
D23_3,104.257738,-29.064564,0.0,top
D23_2,130.58,-100.3252,270.0,top
D23,100.485,-84.75,0.0,top
D24_4,104.466364,-47.346552,0.0,top
D24_3,104.322738,-25.381564,0.0,top
D24_2,143.641038,-116.470444,90.0,top
D24,109.65,-78.05,0.0,top
D25_4,104.901364,-39.729552,90.0,top
D25_3,138.3,-59.8852,0.0,top
D25_2,100.635,-90.45,270.0,top
D25,104.757738,-17.764564,90.0,top
D26_2,110.085,-113.2,0.0,top
D26,153.78,-52.9152,180.0,top
D27_2,102.435,-64.45,90.0,top
D27,136.26,-53.4752,180.0,top
D28_2,141.3,-42.9352,0.0,top
D28,114.635,-97.45,270.0,top
D29_2,135.92,-68.3852,0.0,top
D29,115.935,-102.6,0.0,top
D3_3,142.482878,-20.992569,180.0,top
D3_2,150.958962,-63.3852,0.0,top
D3,109.605,-75.85,90.0,top
D30,133.27,-68.0852,180.0,top
D31,147.755,-69.8502,0.0,top
D4_3,138.958962,-62.099956,90.0,top
D4_2,105.101,-84.448,180.0,top
D4,149.097878,-21.007569,180.0,top
D5_2,134.9,-71.4452,180.0,top
D5,121.793,-86.032,90.0,top
D6_2,144.09,-112.3052,270.0,top
D6,112.315,-95.83,90.0,top
D7_2,115.747,-109.955,180.0,top
D7,144.62,-69.6352,0.0,top
D8,100.185,-69.1,90.0,top
H1_2,119.89,-60.045,0.0,top
H1,129.831878,-12.738569,0.0,top
H2_4,121.049364,-51.106552,0.0,top
H2_3,120.905738,-29.141564,0.0,top
H2_2,155.831878,-21.738569,0.0,top
H2,118.9,-72.03,0.0,top
H3_3,121.049364,-37.106552,0.0,top
H3_2,120.905738,-15.141564,0.0,top
H3,93.9,-90.03,0.0,top
H4,93.933,-115.94,0.0,top
H6,129.85,-31.6352,270.0,top
H7,158.772,-37.4992,90.0,top
H8,146.516462,-47.949956,0.0,top
H9,146.153,-105.2462,180.0,top
J1_2,95.825,-60.14,0.0,top
J1,129.09,-66.475209,90.0,top
J2_5,102.452364,-43.905552,0.0,top
J2_4,144.692878,-11.757569,0.0,top
J2_3,159.87,-55.6352,270.0,top
J2_2,102.308738,-21.940564,0.0,top
J2,93.645,-101.24,90.0,top
J3,120.185,-100.78,270.0,top
J4_2,154.57,-30.6712,0.0,top
J4,113.783,-59.783,0.0,top
J5,157.17,-67.6352,180.0,top
KIBUZZARD-6A186FEC,115.889,-113.569,0.0,bottom
S1_4,111.216364,-39.960552,0.0,top
S1_3,111.072738,-17.995564,0.0,top
S1_2,146.516462,-37.949956,0.0,top
S1,132.425,-20.9,0.0,top
S2_3,111.216364,-48.779552,0.0,top
S2_2,136.516462,-47.949956,0.0,top
S2,111.072738,-26.814564,0.0,top
S3_2,107.035,-69.8,0.0,top
S3,156.516462,-47.949956,0.0,top
S4_2,97.06,-79.85,0.0,top
S4,146.516462,-57.949956,0.0,top
S5_2,136.717038,-106.440444,180.0,top
S5,117.022721,-79.812721,180.0,top
S6_2,136.681038,-115.440444,0.0,top
S6,107.026674,-89.8,0.0,top
S7,117.435,-115.45,180.0,top
U1_2,98.985,-64.67,180.0,top
U1,130.97,-41.2852,180.0,top
U2_2,93.305,-73.47,180.0,top
U2,149.41,-67.1877,90.0,top
