D1:1
D2:1
D22:3
D23:4
D24:4
D25:4
D26:2
D27:2
D28:2
D29:2
D3:3
D30:1
D31:1
D4:3
D5:2
D6:2
D7:2
D8:1
H1:2
H2:4
H3:3
H4:1
H6:1
H7:1
H8:1
H9:1
J1:2
J2:5
J3:1
J4:2
J5:1
KIBUZZARD-6A186FEC:1
KIBUZZARD-6A187131:2
KIBUZZARD-6A19F3B7:1
KIBUZZARD-6A70E37C:2
REF**:10
S1:4
S2:3
S3:2
S4:2
S5:2
S6:2
S7:1
U1:2
U2:2
