Designator,Footprint,Quantity,Value,LCSC Part #
D21,0402,1,ESD5V0B03,C521894
"D3, D4",LED_D5.0mm-4_RGB,2,LED_RKGB,C2837020
J2,5034800800,1,503480-0800,C596711
"R1, R2",0402,2,180R,
"R3, R4, R5, R6",0402,4,47R,
S1,B3S1002,1,B3S-1002,C2733654
