"Reference","Qty","Value","Footprint","MPN","Manufacturer"
"D22,D23,D24,D25","4","ESD5V0B03","A_HDJ_Library:D_0402_1005Metric","ESD5V0B03-1006","TECH PUBLIC"
"J2","1","503480-0440","503480-0440:5034800440","5034800440","MOLEX"
"S1,S2","2","B3S-1002","B3S-1002:B3S1002","B3S-1002","OMRON"
