Designator,Footprint,Quantity,Value,LCSC Part #
R96,0805,1,23.7k/1%,
"SW80, SW81",SW_SPST_B3U-1000P,2,SW_Push,
SW82,Nidec_Copal_CAS-120A,1,SW_Nidec_CAS-120A1,C5962834
"TP10, TP2",TestPoint_Pad_D1.5mm,2,TestPoint,
"U12, U3, U9",Diodes_UDFN-10_1.0x2.5mm_P0.5mm,3,ULC0524P,
U14,ESSOP-10-1EP_3.9x5mm_P1.0mm_EP3.2x2.3,1,CH224K,
"U15, U16",TSOT-23-6,2,SY8253ADC,
U79,Texas_RQM0029A_VQFN-29_4x4mm_P0.4mm,1,BQ25798,
"U80, U85",DFN-8-1EP_2x2mm_P0.5mm_EP0.86x1.55mm,2,PAM2841G,
U82,Texas_S-PDSO-N12,1,BQ27441DRZT-G1A,
U84,SOIC-16_3.9x9.9mm_P1.27mm,1,PAM8403D,
U86,VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias,1,TPS62131,
U88,QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm,1,RP2354B,
"U89, U90, U91, U92, U97, U98",Diodes_UDFN-10_1x2.5mm_P0.5mm,6,D3V3XA4B10LP,
"U96, U99",LQFP-64-1EP_10x10mm_P0.5mm_EP5x5mm,2,ADV7611,
"Y1, Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,ABM8-272-T3,C20625731
"Y81, Y82",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,Crystal_GND24,C1985278
