Designator,Footprint,Quantity,Value,LCSC Part #
"D22, D23, D24, D25",0402,4,ESD5V0B03,C521894
J2,5034800440,1,503480-0440,C3170007
"S1, S2",B3S1002,2,B3S-1002,C2733654
