Designator,Footprint,Quantity,Value,LCSC Part #
"D22, D23, D24, D25, D26, D27, D28, D29",0402,8,ESD5V0B03,C521894
"D3, D4, D5, D6, D7, D8",D_SOD-323,6,1N4148WS,
J2,AYF530365T,1,AYF530365TA,
J3,5034801400,1,5034801400,
J4,5034800440,1,503480-0440,
KIBUZZARD-6A186FEC,kibuzzard-6A186FEC,1,G***,
"S3, S4, S5, S6, S7",B3S1000,5,B3S-1000,
U1,SOT-23-5,1,74LVC1G08,
U2,SOT-23,1,DRV5033FAxDBZ,
