Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2, D3, D4, D5, D6, D7",D_SOD-323,7,1N4148WS,C917117
"D23, D24, D25, D26, D27, D28, D29, D30, D31",0402,9,ESD5V0B03,C521894
J1,5034801400,1,5034801400,C505360
J2,AYF530365T,1,AYF530365TA,C5571510
J4,5034800440,1,503480-0440,C3170007
J5,5034800540,1,503480-0540,C5527934
"S1, S2, S3, S4, S5, S6",B3S1000,6,B3S-1000,C2733655
U1,SOT-23,1,DRV5033FAxDBZ,C2869057
U2,SOT-23-5,1,74LVC1G08,C53185136
