D1:1
D2:1
D23:1
D24:1
D25:1
D26:1
D27:1
D28:1
D29:1
D3:1
D30:1
D31:1
D4:1
D5:1
D6:1
D7:1
H6:1
H7:1
H8:1
H9:1
J1:1
J2:1
J4:1
J5:1
KIBUZZARD-6A187131:1
KIBUZZARD-6A19F3B7:1
S1:1
S2:1
S3:1
S4:1
S5:1
S6:1
U1:1
U2:1
