"Reference","Qty","Value","Footprint","MPN","Manufacturer"
"D1,D2,D3,D4,D5,D6,D7","7","1N4148WS","Diode_SMD:D_SOD-323","1N4148WS","JSMSEMI"
"D23,D24,D25,D26,D27,D28,D29,D30,D31","9","ESD5V0B03","A_HDJ_Library:D_0402_1005Metric","ESD5V0B03-1006","TECH PUBLIC"
"J1","1","5034801400","5034801400:5034801400","5034801400","MOLEX"
"J2","1","AYF530365TA","AYF530365TA:AYF530365T","AYF530365TA","PANASONIC"
"J4","1","503480-0440","5034800440","5034800440","MOLEX"
"J5","1","503480-0540","503480-0540:5034800540","5034800540","MOLEX"
"S1,S2,S3,S4,S5,S6","6","B3S-1000","B3S-1000:B3S1000","B3S-1000","OMRON"
"U1","1","DRV5033FAxDBZ","Package_TO_SOT_SMD:SOT-23","DRV5033FAQDBZR","TI"
"U2","1","74LVC1G08","Package_TO_SOT_SMD:SOT-23-5","74LVC1G08GV","MDD(Microdiode Semiconductor)"
